Координаты: (103.5, 6.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (150.0, 177.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (21.0, 121.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (51.0, 52.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (31.5, 189.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (111.0, 181.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (81.5, 126.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (31.5, 107.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (226.5, 103.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (116.5, 91.0); Яркость: 4925; Размер: 20; Тип: планета
Координаты: (205.0, 74.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (17.5, 71.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (80.0, 50.0); Яркость: 8403; Размер: 36; Тип: звезда
Координаты: (1.5, 35.5); Яркость: 3712; Размер: 15; Тип: планета
Координаты: (119.5, 23.5); Яркость: 5919; Размер: 25; Тип: звезда
Координаты: (180.5, 20.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (7.5, 136.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (125.5, 107.5); Яркость: 2294; Размер: 9; Тип: планета
Координаты: (62.0, 49.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (222.5, 48.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (99.0, 38.5); Яркость: 7142; Размер: 30; Тип: звезда
Координаты: (80.5, 32.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (226.5, 9.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (213.5, 8.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (138.0, 2.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (100.0, 186.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (116.5, 172.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (151.5, 171.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (122.0, 170.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (54.5, 159.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (72.5, 142.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (13.5, 113.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (4.5, 98.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (141.5, 77.5); Яркость: 2251; Размер: 9; Тип: планета
Координаты: (226.0, 75.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (181.5, 35.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (212.5, 113.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (183.5, 107.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (98.5, 81.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (192.5, 65.5); Яркость: 11002; Размер: 49; Тип: звезда
Координаты: (13.5, 52.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (113.5, 49.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (43.5, 42.5); Яркость: 2295; Размер: 9; Тип: планета
