Координаты: (50.5, 208.5); Яркость: 765; Размер: 3; Тип: планета
Координаты: (25.0, 208.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (4.0, 208.0); Яркость: 1017; Размер: 4; Тип: планета
Координаты: (105.5, 206.5); Яркость: 765; Размер: 3; Тип: планета
Координаты: (256.5, 76.5); Яркость: 249; Размер: 1; Тип: планета
Координаты: (254.5, 72.5); Яркость: 218; Размер: 1; Тип: планета
Координаты: (253.5, 70.5); Яркость: 224; Размер: 1; Тип: планета
Координаты: (252.5, 67.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (251.5, 48.5); Яркость: 245; Размер: 1; Тип: планета
Координаты: (253.0, 45.0); Яркость: 1816; Размер: 8; Тип: планета
Координаты: (254.5, 187.5); Яркость: 245; Размер: 1; Тип: планета
Координаты: (249.5, 177.5); Яркость: 656; Размер: 3; Тип: планета
Координаты: (256.0, 146.0); Яркость: 1675; Размер: 8; Тип: планета
Координаты: (252.0, 144.5); Яркость: 1380; Размер: 6; Тип: планета
Координаты: (256.0, 138.5); Яркость: 1264; Размер: 6; Тип: планета
Координаты: (51.0, 18.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (26.0, 18.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (0.5, 15.0); Яркость: 1526; Размер: 6; Тип: планета
Координаты: (11.5, 10.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (60.0, 8.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (35.0, 9.5); Яркость: 2523; Размер: 10; Тип: планета
Координаты: (0.5, 146.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (0.5, 126.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (10.5, 110.5); Яркость: 159; Размер: 1; Тип: планета
Координаты: (4.0, 104.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (184.0, 94.5); Яркость: 5639; Размер: 24; Тип: планета
Координаты: (185.5, 90.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (168.0, 92.5); Яркость: 32006; Размер: 168; Тип: звезда
Координаты: (191.0, 86.5); Яркость: 5032; Размер: 24; Тип: планета
Координаты: (149.0, 86.0); Яркость: 8632; Размер: 48; Тип: звезда
Координаты: (190.5, 80.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (156.5, 72.5); Яркость: 2093; Размер: 9; Тип: планета
Координаты: (240.5, 69.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (215.0, 68.5); Яркость: 1391; Размер: 6; Тип: планета
Координаты: (188.5, 66.0); Яркость: 1253; Размер: 6; Тип: планета
Координаты: (158.5, 65.5); Яркость: 226; Размер: 1; Тип: планета
Координаты: (201.0, 78.0); Яркость: 126285; Размер: 780; Тип: звезда
Координаты: (201.5, 63.0); Яркость: 498; Размер: 2; Тип: планета
Координаты: (176.5, 61.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (161.5, 61.5); Яркость: 1874; Размер: 9; Тип: планета
Координаты: (197.0, 60.0); Яркость: 932; Размер: 4; Тип: планета
Координаты: (0.5, 59.5); Яркость: 212; Размер: 1; Тип: планета
Координаты: (203.5, 57.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (196.5, 55.5); Яркость: 253; Размер: 1; Тип: планета
Координаты: (191.5, 54.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (185.5, 52.5); Яркость: 1985; Размер: 9; Тип: планета
Координаты: (202.5, 49.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (191.5, 49.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (138.0, 49.5); Яркость: 2275; Размер: 10; Тип: планета
Координаты: (198.0, 46.0); Яркость: 990; Размер: 4; Тип: планета
Координаты: (180.0, 46.5); Яркость: 2764; Размер: 12; Тип: планета
Координаты: (189.0, 43.5); Яркость: 2368; Размер: 10; Тип: планета
Координаты: (157.5, 32.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (137.5, 38.0); Яркость: 53356; Размер: 364; Тип: звезда
Координаты: (153.0, 17.5); Яркость: 497; Размер: 2; Тип: планета
Координаты: (36.5, 226.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (119.0, 220.0); Яркость: 2741; Размер: 12; Тип: планета
Координаты: (188.5, 215.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (180.5, 215.0); Яркость: 464; Размер: 2; Тип: планета
Координаты: (108.5, 211.5); Яркость: 10900; Размер: 55; Тип: звезда
Координаты: (47.5, 204.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (99.5, 193.5); Яркость: 241; Размер: 1; Тип: планета
Координаты: (111.0, 203.0); Яркость: 54128; Размер: 384; Тип: звезда
Координаты: (97.5, 187.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (49.0, 93.5); Яркость: 472; Размер: 2; Тип: планета
Координаты: (59.5, 87.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (62.5, 84.5); Яркость: 167; Размер: 1; Тип: планета
Координаты: (4.0, 84.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (38.5, 80.5); Яркость: 207; Размер: 1; Тип: планета
Координаты: (1.0, 79.0); Яркость: 944; Размер: 4; Тип: планета
Координаты: (64.0, 76.5); Яркость: 1338; Размер: 6; Тип: планета
Координаты: (72.5, 67.0); Яркость: 491; Размер: 2; Тип: планета
Координаты: (73.5, 61.0); Яркость: 1009; Размер: 4; Тип: планета
Координаты: (22.5, 51.5); Яркость: 2081; Размер: 9; Тип: планета
Координаты: (177.5, 49.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (3.0, 48.5); Яркость: 1461; Размер: 6; Тип: планета
Координаты: (45.0, 44.0); Яркость: 1633; Размер: 8; Тип: планета
Координаты: (24.0, 43.0); Яркость: 1931; Размер: 8; Тип: планета
Координаты: (41.0, 41.5); Яркость: 1430; Размер: 6; Тип: планета
Координаты: (4.5, 40.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (51.0, 38.5); Яркость: 494; Размер: 2; Тип: планета
Координаты: (55.0, 44.0); Яркость: 38673; Размер: 196; Тип: звезда
Координаты: (29.0, 38.0); Яркость: 4626; Размер: 24; Тип: планета
Координаты: (35.0, 33.5); Яркость: 463; Размер: 2; Тип: планета
Координаты: (21.5, 32.0); Яркость: 490; Размер: 2; Тип: планета
Координаты: (64.5, 37.5); Яркость: 80004; Размер: 551; Тип: звезда
Координаты: (52.0, 21.5); Яркость: 496; Размер: 2; Тип: планета
Координаты: (34.0, 21.5); Яркость: 3703; Размер: 18; Тип: планета
Координаты: (31.5, 17.0); Яркость: 2203; Размер: 10; Тип: планета
Координаты: (37.0, 205.5); Яркость: 10399; Размер: 48; Тип: планета
Координаты: (18.0, 203.0); Яркость: 6744; Размер: 40; Тип: планета
Координаты: (51.5, 201.5); Яркость: 3192; Размер: 15; Тип: планета
Координаты: (33.5, 199.5); Яркость: 252; Размер: 1; Тип: планета
Координаты: (153.5, 189.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (111.5, 173.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (22.0, 169.5); Яркость: 1387; Размер: 6; Тип: планета
Координаты: (73.5, 167.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (73.0, 156.0); Яркость: 911; Размер: 4; Тип: планета
Координаты: (11.0, 155.5); Яркость: 491; Размер: 2; Тип: планета
Координаты: (11.5, 149.5); Яркость: 239; Размер: 1; Тип: планета
Координаты: (22.0, 148.0); Яркость: 977; Размер: 4; Тип: планета
Координаты: (65.0, 145.0); Яркость: 1009; Размер: 4; Тип: планета
Координаты: (26.5, 145.0); Яркость: 2381; Размер: 12; Тип: планета
Координаты: (58.0, 142.0); Яркость: 871; Размер: 4; Тип: планета
Координаты: (1.0, 142.5); Яркость: 1324; Размер: 6; Тип: планета
Координаты: (37.5, 137.5); Яркость: 233; Размер: 1; Тип: планета
Координаты: (31.0, 140.0); Яркость: 15820; Размер: 80; Тип: звезда
Координаты: (7.0, 137.0); Яркость: 839; Размер: 4; Тип: планета
Координаты: (3.0, 134.0); Яркость: 963; Размер: 4; Тип: планета
Координаты: (60.0, 133.0); Яркость: 885; Размер: 4; Тип: планета
Координаты: (28.0, 134.0); Яркость: 4892; Размер: 24; Тип: планета
Координаты: (33.5, 131.5); Яркость: 2082; Размер: 9; Тип: планета
Координаты: (10.0, 128.5); Яркость: 2587; Размер: 12; Тип: планета
Координаты: (32.5, 125.5); Яркость: 2075; Размер: 9; Тип: планета
Координаты: (42.0, 124.0); Яркость: 9357; Размер: 48; Тип: планета
Координаты: (20.5, 124.5); Яркость: 13871; Размер: 75; Тип: звезда
Координаты: (64.5, 35.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (63.5, 28.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (57.0, 25.5); Яркость: 446; Размер: 2; Тип: планета
Координаты: (51.5, 17.0); Яркость: 148041; Размер: 918; Тип: звезда
Координаты: (10.5, 69.5); Яркость: 249; Размер: 1; Тип: планета
